id,value,position,expiration,feed_id,created_at,updated_at,completed_at,location_id,group_id
1831290604,15,,,627755,2016-12-08 18:02:47 UTC,2016-12-08 18:02:47 UTC,,,99830
1831290773,15,,,627755,2016-12-08 18:02:48 UTC,2016-12-08 18:02:48 UTC,,,99830
1831290920,15,,,627755,2016-12-08 18:02:50 UTC,2016-12-08 18:02:50 UTC,,,99830
1831291089,15,,,627755,2016-12-08 18:02:51 UTC,2016-12-08 18:02:51 UTC,,,99830
1831291269,15,,,627755,2016-12-08 18:02:53 UTC,2016-12-08 18:02:53 UTC,,,99830
1831291408,15,,,627755,2016-12-08 18:02:54 UTC,2016-12-08 18:02:54 UTC,,,99830
1831291539,15,,,627755,2016-12-08 18:02:56 UTC,2016-12-08 18:02:56 UTC,,,99830
1831291741,15,,,627755,2016-12-08 18:02:57 UTC,2016-12-08 18:02:57 UTC,,,99830
1831291898,15,,,627755,2016-12-08 18:02:59 UTC,2016-12-08 18:02:59 UTC,,,99830
1831292026,15,,,627755,2016-12-08 18:03:00 UTC,2016-12-08 18:03:00 UTC,,,99830
1831292161,15,,,627755,2016-12-08 18:03:02 UTC,2016-12-08 18:03:02 UTC,,,99830
1831292314,15,,,627755,2016-12-08 18:03:03 UTC,2016-12-08 18:03:03 UTC,,,99830
1831292461,15,,,627755,2016-12-08 18:03:04 UTC,2016-12-08 18:03:04 UTC,,,99830
1831292595,15,,,627755,2016-12-08 18:03:06 UTC,2016-12-08 18:03:06 UTC,,,99830
1831292726,15,,,627755,2016-12-08 18:03:07 UTC,2016-12-08 18:03:07 UTC,,,99830
1831292890,15,,,627755,2016-12-08 18:03:09 UTC,2016-12-08 18:03:09 UTC,,,99830
1831293042,15,,,627755,2016-12-08 18:03:10 UTC,2016-12-08 18:03:10 UTC,,,99830
1831293222,15,,,627755,2016-12-08 18:03:12 UTC,2016-12-08 18:03:12 UTC,,,99830
1831293368,15,,,627755,2016-12-08 18:03:13 UTC,2016-12-08 18:03:13 UTC,,,99830
1831293501,15,,,627755,2016-12-08 18:03:15 UTC,2016-12-08 18:03:15 UTC,,,99830
1831293675,15,,,627755,2016-12-08 18:03:16 UTC,2016-12-08 18:03:16 UTC,,,99830
1831295660,15,,,627755,2016-12-08 18:03:35 UTC,2016-12-08 18:03:35 UTC,,,99830
1831295136,15,,,627755,2016-12-08 18:03:30 UTC,2016-12-08 18:03:30 UTC,,,99830
1831295307,15,,,627755,2016-12-08 18:03:32 UTC,2016-12-08 18:03:32 UTC,,,99830
1831295468,15,,,627755,2016-12-08 18:03:33 UTC,2016-12-08 18:03:33 UTC,,,99830
1831290409,15,,,627755,2016-12-08 18:02:45 UTC,2016-12-08 18:02:45 UTC,,,99830
1831297142,15,,,627755,2016-12-08 18:03:48 UTC,2016-12-08 18:03:49 UTC,,,99830
1831297301,15,,,627755,2016-12-08 18:03:50 UTC,2016-12-08 18:03:50 UTC,,,99830
1831297494,15,,,627755,2016-12-08 18:03:52 UTC,2016-12-08 18:03:52 UTC,,,99830
1831297637,15,,,627755,2016-12-08 18:03:54 UTC,2016-12-08 18:03:54 UTC,,,99830
1831297805,15,,,627755,2016-12-08 18:03:55 UTC,2016-12-08 18:03:55 UTC,,,99830
1831297970,15,,,627755,2016-12-08 18:03:56 UTC,2016-12-08 18:03:57 UTC,,,99830
1831298106,15,,,627755,2016-12-08 18:03:58 UTC,2016-12-08 18:03:58 UTC,,,99830
1831298245,15,,,627755,2016-12-08 18:03:59 UTC,2016-12-08 18:03:59 UTC,,,99830
1831298402,15,,,627755,2016-12-08 18:04:01 UTC,2016-12-08 18:04:01 UTC,,,99830
