id,value,position,expiration,feed_id,created_at,updated_at,completed_at,location_id,group_id
1831290599,91,,,627120,2016-12-08 18:02:47 UTC,2016-12-08 18:02:47 UTC,,,99830
1831290770,101,,,627120,2016-12-08 18:02:48 UTC,2016-12-08 18:02:48 UTC,,,99830
1831290917,159,,,627120,2016-12-08 18:02:50 UTC,2016-12-08 18:02:50 UTC,,,99830
1831291086,137,,,627120,2016-12-08 18:02:51 UTC,2016-12-08 18:02:51 UTC,,,99830
1831291268,123,,,627120,2016-12-08 18:02:53 UTC,2016-12-08 18:02:53 UTC,,,99830
1831291405,165,,,627120,2016-12-08 18:02:54 UTC,2016-12-08 18:02:54 UTC,,,99830
1831291533,150,,,627120,2016-12-08 18:02:56 UTC,2016-12-08 18:02:56 UTC,,,99830
1831291739,83,,,627120,2016-12-08 18:02:57 UTC,2016-12-08 18:02:57 UTC,,,99830
1831291896,53,,,627120,2016-12-08 18:02:59 UTC,2016-12-08 18:02:59 UTC,,,99830
1831292025,193,,,627120,2016-12-08 18:03:00 UTC,2016-12-08 18:03:00 UTC,,,99830
1831292159,8,,,627120,2016-12-08 18:03:02 UTC,2016-12-08 18:03:02 UTC,,,99830
1831292313,188,,,627120,2016-12-08 18:03:03 UTC,2016-12-08 18:03:03 UTC,,,99830
1831292459,9,,,627120,2016-12-08 18:03:04 UTC,2016-12-08 18:03:04 UTC,,,99830
1831292594,153,,,627120,2016-12-08 18:03:06 UTC,2016-12-08 18:03:06 UTC,,,99830
1831292722,148,,,627120,2016-12-08 18:03:07 UTC,2016-12-08 18:03:07 UTC,,,99830
1831292888,162,,,627120,2016-12-08 18:03:09 UTC,2016-12-08 18:03:09 UTC,,,99830
1831293039,158,,,627120,2016-12-08 18:03:10 UTC,2016-12-08 18:03:10 UTC,,,99830
1831293219,143,,,627120,2016-12-08 18:03:12 UTC,2016-12-08 18:03:12 UTC,,,99830
1831293364,169,,,627120,2016-12-08 18:03:13 UTC,2016-12-08 18:03:13 UTC,,,99830
1831293498,136,,,627120,2016-12-08 18:03:15 UTC,2016-12-08 18:03:15 UTC,,,99830
1831293673,133,,,627120,2016-12-08 18:03:16 UTC,2016-12-08 18:03:16 UTC,,,99830
1831295659,116,,,627120,2016-12-08 18:03:35 UTC,2016-12-08 18:03:35 UTC,,,99830
1831295130,71,,,627120,2016-12-08 18:03:30 UTC,2016-12-08 18:03:30 UTC,,,99830
1831295305,87,,,627120,2016-12-08 18:03:32 UTC,2016-12-08 18:03:32 UTC,,,99830
1831295462,174,,,627120,2016-12-08 18:03:33 UTC,2016-12-08 18:03:33 UTC,,,99830
1831290403,8,,,627120,2016-12-08 18:02:45 UTC,2016-12-08 18:02:45 UTC,,,99830
1831297136,169,,,627120,2016-12-08 18:03:48 UTC,2016-12-08 18:03:48 UTC,,,99830
1831297299,129,,,627120,2016-12-08 18:03:50 UTC,2016-12-08 18:03:50 UTC,,,99830
1831297492,135,,,627120,2016-12-08 18:03:52 UTC,2016-12-08 18:03:52 UTC,,,99830
1831297635,134,,,627120,2016-12-08 18:03:54 UTC,2016-12-08 18:03:54 UTC,,,99830
1831297802,158,,,627120,2016-12-08 18:03:55 UTC,2016-12-08 18:03:55 UTC,,,99830
1831297969,159,,,627120,2016-12-08 18:03:56 UTC,2016-12-08 18:03:56 UTC,,,99830
1831298104,138,,,627120,2016-12-08 18:03:58 UTC,2016-12-08 18:03:58 UTC,,,99830
1831298244,160,,,627120,2016-12-08 18:03:59 UTC,2016-12-08 18:03:59 UTC,,,99830
1831298399,158,,,627120,2016-12-08 18:04:01 UTC,2016-12-08 18:04:01 UTC,,,99830
1831298558,161,,,627120,2016-12-08 18:04:02 UTC,2016-12-08 18:04:02 UTC,,,99830
1831298718,139,,,627120,2016-12-08 18:04:04 UTC,2016-12-08 18:04:04 UTC,,,99830
1831299199,163,,,627120,2016-12-08 18:04:08 UTC,2016-12-08 18:04:08 UTC,,,99830
1831298915,166,,,627120,2016-12-08 18:04:05 UTC,2016-12-08 18:04:05 UTC,,,99830
1831299060,155,,,627120,2016-12-08 18:04:07 UTC,2016-12-08 18:04:07 UTC,,,99830
1831299354,157,,,627120,2016-12-08 18:04:10 UTC,2016-12-08 18:04:10 UTC,,,99830
1831299526,167,,,627120,2016-12-08 18:04:11 UTC,2016-12-08 18:04:11 UTC,,,99830
1831299673,168,,,627120,2016-12-08 18:04:13 UTC,2016-12-08 18:04:13 UTC,,,99830
1831301367,69,,,627120,2016-12-08 18:04:28 UTC,2016-12-08 18:04:28 UTC,,,99830
1831299879,167,,,627120,2016-12-08 18:04:15 UTC,2016-12-08 18:04:15 UTC,,,99830
1831300036,138,,,627120,2016-12-08 18:04:16 UTC,2016-12-08 18:04:16 UTC,,,99830
1831300195,152,,,627120,2016-12-08 18:04:18 UTC,2016-12-08 18:04:18 UTC,,,99830
1831300362,169,,,627120,2016-12-08 18:04:19 UTC,2016-12-08 18:04:19 UTC,,,99830
1831300541,97,,,627120,2016-12-08 18:04:20 UTC,2016-12-08 18:04:20 UTC,,,99830
